City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Shahr-E Babak,IR,82.38,broken clouds,30.1165,55.1186,Duna Ecolodge
292,Kailua,US,83.07,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
295,Waddan,LY,88.72,clear sky,29.1614,16.139,محل الشريف محمد العايب
299,Wahiawa,US,79.79,haze,21.5028,-158.0236,Aloha Wahiawa
300,Torbay,CA,75.88,few clouds,47.6666,-52.7314,Gallows Cove
302,Shimoda,JP,75.58,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
303,Endicott,US,89.04,few clouds,42.0984,-76.0494,Knights Inn Endwell
309,Nagato,JP,76.91,overcast clouds,34.3833,131.2,いそう庵
315,Sertania,BR,80.08,broken clouds,-8.0736,-37.2644,Hotel Esperança
316,Bozeman,US,89.02,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
328,Puerto El Triunfo,SV,89.76,broken clouds,13.2833,-88.55,Hotel Jardin
329,Podgorica,ME,80.38,clear sky,42.4411,19.2636,Hotel Podgorica
333,Yuyao,CN,83.79,overcast clouds,30.05,121.1494,Grand Pacific Hotel Ningbo
338,Mahibadhoo,MV,82.56,overcast clouds,3.7833,72.9667,Omadhoo Inn
340,Matara,LK,78.55,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
346,Palu,ID,75.25,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
348,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
351,Ormara,PK,85.12,heavy intensity rain,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
353,Serra,BR,76.46,few clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
355,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
358,Ugoofaaru,MV,83.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
360,Huesca,ES,79.11,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
362,Carutapera,BR,78.98,broken clouds,-1.195,-46.02,Lidera
363,Lahad Datu,MY,75.81,overcast clouds,5.0268,118.327,The 27th House
365,Itarema,BR,81.61,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
366,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
372,Nicosia,CY,87.49,clear sky,35.1667,33.3667,The Landmark Nicosia
374,Hutchinson,US,79.2,overcast clouds,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
379,Namatanai,PG,79.68,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
