City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Hithadhoo,MV,2021-07-12 18:22:23,-0.6,73.0833,82.29,72,68,4.72
110,Japura,ID,2021-07-12 18:22:24,-0.3167,102.35,74.01,99,98,1.32
111,Isangel,VU,2021-07-12 18:22:24,-19.55,169.2667,71.1,92,100,14.58
112,Lebu,CL,2021-07-12 18:22:24,-37.6167,-73.65,53.01,63,0,8.14
113,Havelock,US,2021-07-12 18:22:25,34.8791,-76.9013,88.03,78,40,8.01
114,Tres Arroyos,AR,2021-07-12 18:22:25,-38.3739,-60.2798,60.1,41,100,7.45
115,Ola,RU,2021-07-12 18:22:26,59.5833,151.2833,51.28,94,100,3.49
116,Ngunguru,NZ,2021-07-12 18:22:26,-35.6167,174.5,50.16,69,100,17.65
117,Thaba Nchu,ZA,2021-07-12 18:22:26,-29.2093,26.839,58.78,26,14,18.32
118,Hobart,AU,2021-07-12 18:22:27,-42.8794,147.3294,50.25,81,100,1.01
119,Dwarka,IN,2021-07-12 18:22:27,22.2394,68.9678,84.72,78,100,9.64
120,Shunyi,CN,2021-07-12 18:22:27,40.125,116.6453,73.35,100,75,2.24
121,Nikolskoye,RU,2021-07-12 18:22:28,59.7035,30.7861,76.89,56,7,4.56
122,Castro,BR,2021-07-12 18:22:28,-24.7911,-50.0119,70.03,42,31,7.96
123,Aklavik,CA,2021-07-12 18:22:28,68.2191,-135.0107,63.43,44,53,8.55
124,Molchanovo,RU,2021-07-12 18:21:18,57.5817,83.7692,55.2,90,84,4.05
125,Anchorage,US,2021-07-12 18:21:25,61.2181,-149.9003,64.42,76,90,1.01
126,Lagarto,BR,2021-07-12 18:22:29,-10.9172,-37.65,79.09,60,86,12.08
127,Tapikan,PH,2021-07-12 18:22:30,6.8519,124.3225,70.88,93,92,0.51
128,Klaksvik,FO,2021-07-12 18:22:30,62.2266,-6.589,54.52,90,71,7.27
129,Preston,GB,2021-07-12 18:18:05,53.7667,-2.7167,65.89,68,75,4.61
130,Basoko,CD,2021-07-12 18:22:31,1.2391,23.616,76.14,70,66,2.06
131,Flin Flon,CA,2021-07-12 18:22:31,54.7682,-101.865,75.04,53,75,9.22
132,Tilichiki,RU,2021-07-12 18:22:32,60.4667,166.1,52.29,81,32,2.13
133,Ketchikan,US,2021-07-12 18:22:32,55.3422,-131.6461,61.27,72,75,5.75
134,Namatanai,PG,2021-07-12 18:22:32,-3.6667,152.4333,78.28,79,39,8.81
135,Loandjili,CG,2021-07-12 18:22:33,-4.7561,11.8578,73.51,88,20,4.61
136,Peddapuram,IN,2021-07-12 18:22:33,17.0833,82.1333,79.45,88,99,0.96
137,Cockburn Town,TC,2021-07-12 18:22:33,21.4612,-71.1419,85.96,70,75,16.11
138,Nelson Bay,AU,2021-07-12 18:22:34,-32.7167,152.15,49.95,94,28,9.55
